LotArea,GrLivArea,Street,Alley,LotType,BldgType,HouseStyle,OverallQuality,OverallCondition,YearBuilt,Foundation,TotalBsmtSF,CentralAir,FullBath,HalfBath,GarageType,GarageCars,GarageArea,YearSold,SaleType,SaleCondition,SalePrice
21286,1271,Pave,NA,Inside,1Fam,1.5Fin,5,5,1948,CBlock,720,Y,2,0,Attchd,1,312,2008,WD,Normal,135000
6120,1015,Pave,NA,Inside,1Fam,1Story,5,7,1925,BrkTil,768,N,1,0,Detchd,1,450,2006,WD,Abnorml,88000
7200,2291,Pave,NA,Corner,2fmCon,2.5Unf,6,6,1910,BrkTil,1214,N,2,0,Detchd,2,506,2007,WD,Normal,133900
16737,1980,Pave,NA,FR3,1Fam,1Story,9,5,2004,PConc,1980,Y,2,0,Attchd,3,770,2006,WD,Normal,315000
10207,1761,Pave,NA,Inside,1Fam,2Story,7,6,2007,PConc,874,Y,3,0,Attchd,2,578,2007,New,Partial,227875
9000,1128,Pave,NA,Inside,1Fam,1Story,5,5,1954,CBlock,936,Y,1,0,Attchd,1,286,2006,WD,Family,118000
4750,1625,Pave,NA,Inside,TwnhsE,1Story,8,5,2006,PConc,1573,Y,2,0,Attchd,2,538,2007,WD,Family,235000
9069,996,Pave,NA,Inside,1Fam,SFoyer,6,6,1992,PConc,936,Y,1,0,Attchd,2,564,2010,WD,Normal,147000
8520,2526,Pave,Grvl,Inside,1Fam,1.5Fin,6,7,1916,BrkTil,714,N,2,0,Detchd,1,216,2007,CWD,Family,136000
2117,1512,Pave,NA,Inside,TwnhsE,2Story,6,5,2000,PConc,756,Y,2,1,Detchd,2,440,2007,WD,Normal,168500
8212,864,Pave,Grvl,Inside,1Fam,1Story,3,3,1914,BrkTil,864,N,1,0,Detchd,1,200,2010,WD,Normal,58500
4060,1337,Pave,NA,Inside,TwnhsE,1Story,6,5,1998,PConc,1405,Y,2,0,Attchd,2,511,2008,COD,Abnorml,181000
13693,2643,Pave,NA,Inside,1Fam,2Story,9,5,2006,PConc,2153,Y,2,1,BuiltIn,3,694,2007,WD,Normal,380000
11175,1316,Pave,NA,Corner,1Fam,1Story,7,5,2007,PConc,1316,Y,2,0,Attchd,2,440,2007,New,Partial,200141
2645,1739,Pave,Pave,Inside,Twnhs,2Story,8,5,1999,PConc,970,Y,2,1,Attchd,2,480,2009,WD,Abnorml,172500
4500,1520,Pave,Pave,Inside,1Fam,1.5Fin,5,5,1932,BrkTil,793,Y,1,0,Detchd,1,281,2009,WD,Abnorml,159434
10140,1680,Pave,NA,Inside,1Fam,1Story,7,5,1998,PConc,1650,Y,2,0,Attchd,2,583,2009,WD,Normal,213250
9187,1766,Pave,NA,Inside,1Fam,1Story,9,5,2009,PConc,1766,Y,2,1,Attchd,3,478,2009,New,Partial,370878
14541,2520,Pave,NA,Corner,1Fam,2Story,8,7,1993,PConc,1338,Y,2,1,Attchd,3,796,2006,WD,Abnorml,310000
14145,1621,Pave,NA,Corner,1Fam,1Story,7,7,1984,CBlock,1208,Y,2,0,Attchd,2,440,2006,WD,Normal,202500
7800,965,Pave,NA,Corner,1Fam,1Story,5,5,1965,CBlock,828,Y,1,0,Detchd,1,300,2006,WD,Abnorml,119900
8400,1665,Pave,NA,Inside,1Fam,2Story,8,6,2001,PConc,810,Y,2,1,Attchd,2,528,2009,WD,Normal,227000
12224,2054,Pave,NA,Corner,1Fam,2Story,6,5,2000,Do Not use this Field in the Model,992,Y,2,1,BuiltIn,2,390,2009,WD,Normal,244000
9858,874,Pave,NA,Inside,1Fam,1Story,5,6,1968,CBlock,864,Y,1,0,Attchd,1,288,2009,WD,Normal,130000
10769,1768,Pave,NA,Inside,1Fam,2Story,8,5,2007,PConc,866,Y,2,1,Attchd,2,578,2009,WD,Normal,212000
8816,1121,Pave,NA,Corner,1Fam,1Story,5,6,1963,PConc,1121,Y,1,0,Detchd,2,480,2009,WD,Normal,139000
11616,1092,Pave,NA,Inside,1Fam,1Story,5,5,1962,CBlock,1092,Y,1,0,Attchd,1,288,2009,WD,Normal,139000
14191,1908,Pave,NA,Inside,1Fam,2Story,8,5,2002,PConc,967,Y,2,1,Attchd,2,431,2010,WD,Normal,202900
9170,1214,Pave,NA,Corner,1Fam,1Story,5,7,1965,CBlock,1214,Y,1,0,Detchd,2,461,2007,WD,Normal,140000
8712,1044,Grvl,NA,Inside,1Fam,1Story,5,5,1952,CBlock,540,N,1,0,Basment,2,504,2010,WD,Alloca,55993
2522,1709,Pave,NA,Inside,Twnhs,2Story,6,5,2004,PConc,970,Y,2,0,Detchd,2,380,2006,WD,Normal,130000
10000,1144,Pave,NA,Corner,1Fam,1Story,5,6,1961,CBlock,864,Y,1,0,Attchd,1,264,2009,WD,Normal,131400
9906,1328,Pave,Grvl,Inside,1Fam,2Story,4,4,1925,CBlock,686,N,1,0,Detchd,1,210,2006,WD,Family,107000
8755,2060,Pave,NA,FR2,1Fam,2Story,7,5,1999,PConc,992,Y,2,1,BuiltIn,2,390,2009,WD,Normal,214000
9000,1482,Pave,NA,Inside,1Fam,2Story,7,9,1920,PConc,650,Y,1,0,Detchd,2,324,2009,WD,Normal,143000
9591,2473,Pave,NA,Inside,1Fam,2Story,8,5,2004,Do Not use this Field in the Model,1143,Y,2,1,BuiltIn,3,852,2007,WD,Normal,317000
12925,2117,Pave,NA,Corner,1Fam,1Story,6,7,1970,CBlock,1205,Y,2,1,Attchd,2,550,2008,WD,Normal,237500
13125,2127,Pave,NA,Corner,1Fam,2Story,7,5,1991,PConc,1104,Y,2,1,Attchd,3,833,2007,WD,Normal,238000
9142,1928,Pave,Grvl,Inside,2fmCon,2Story,6,8,1910,Stone,1020,N,2,0,Detchd,1,440,2006,WD,Normal,137000
9060,1340,Pave,NA,Inside,1Fam,1Story,5,6,1957,PConc,0,Y,1,0,Attchd,1,252,2007,WD,Normal,120000
10000,2090,Pave,NA,Inside,1Fam,2Story,8,5,1995,PConc,1220,Y,2,1,Attchd,2,556,2007,WD,Normal,240000
9505,2035,Pave,NA,CulDSac,1Fam,2Story,7,5,2001,PConc,884,Y,2,1,BuiltIn,2,434,2010,WD,Normal,222500
8877,1220,Pave,NA,Inside,1Fam,1Story,4,5,1951,CBlock,836,Y,1,0,Detchd,2,396,2006,COD,Normal,102000
9900,1489,Pave,NA,Inside,1Fam,1.5Fin,6,7,1940,BrkTil,778,Y,2,0,Detchd,1,240,2009,WD,Normal,139500
9764,894,Pave,NA,FR2,1Fam,1Story,5,7,1967,CBlock,894,Y,1,0,Attchd,2,450,2008,WD,Normal,130000
8925,1466,Pave,NA,Inside,1Fam,1Story,8,5,2007,PConc,1466,Y,2,0,Attchd,3,610,2009,WD,Normal,201000
6600,2372,Pave,NA,Corner,1Fam,2Story,5,4,1892,Stone,994,N,2,0,Attchd,1,432,2009,WD,Normal,107500
5790,1605,Pave,NA,Corner,1Fam,2Story,3,6,1915,Do Not use this Field in the Model,840,N,2,0,Detchd,1,379,2010,WD,Normal,107400
3000,1224,Pave,Pave,Inside,TwnhsE,2Story,6,5,2009,PConc,612,Y,2,1,Detchd,2,528,2009,New,Partial,173733
13175,20730,Pave,NA,Inside,1Fam,1Story,6,6,1978,CBlock,1542,Y,2,0,Attchd,2,500,2010,WD,Normal,210000
4608,747,Pave,NA,Corner,1Fam,1Story,4,6,1945,Do Not use this Field in the Model,747,Y,1,0,Attchd,1,220,2010,WD,Normal,80000
6882,1355,Pave,NA,Inside,1Fam,2Story,6,7,1914,PConc,684,Y,1,1,NA,0,0,2007,WD,Normal,127000
11317,1668,Pave,NA,Inside,1Fam,2Story,7,5,2003,PConc,840,Y,2,1,Attchd,2,500,2007,WD,Normal,180000
10594,789,Pave,NA,Inside,1Fam,1.5Unf,5,5,1926,BrkTil,768,N,1,0,Detchd,1,200,2007,WD,Normal,96500
11100,930,Pave,NA,Inside,1Fam,1Story,4,7,1946,CBlock,0,Y,1,0,Detchd,1,308,2010,WD,Abnorml,84900
12095,1445,Pave,NA,Corner,1Fam,SLvl,6,6,1964,CBlock,1127,Y,1,1,Attchd,2,645,2009,WD,Normal,158000
10440,2792,Pave,Grvl,Corner,1Fam,1.5Fin,6,7,1920,BrkTil,1510,Y,2,0,Detchd,2,520,2008,WD,Normal,256000
17043,1586,Pave,NA,CulDSac,1Fam,1Story,6,5,1979,Do Not use this Field in the Model,1362,Y,2,0,Attchd,2,435,2009,WD,Normal,181000
11694,1828,Pave,NA,Inside,1Fam,1Story,9,5,2007,PConc,1822,Y,2,0,Attchd,3,774,2007,New,Partial,314813
6240,912,Pave,NA,Inside,1Fam,1.5Fin,4,5,1947,Slab,0,N,1,0,NA,0,0,2006,WD,Normal,80500
8544,1040,Pave,NA,Inside,Duplex,1Story,3,4,1950,CBlock,0,N,2,0,Detchd,2,400,2006,WD,Normal,93500
14572,1530,Pave,NA,Corner,1Fam,1Story,7,5,2004,PConc,1530,Y,2,0,Attchd,3,630,2007,WD,Family,259000
6000,1158,Pave,NA,Corner,1Fam,1.5Fin,6,7,1929,BrkTil,862,Y,1,0,BuiltIn,1,208,2008,WD,Normal,120000
9672,1097,Pave,NA,Corner,1Fam,1Story,6,5,1984,PConc,1040,Y,2,0,Attchd,2,480,2010,WD,Normal,152000
9098,605,Pave,NA,Inside,1Fam,1Story,4,7,1920,BrkTil,528,Y,1,0,NA,0,0,2007,WD,Normal,86000
10784,1472,Pave,NA,FR2,1Fam,SLvl,7,5,1991,PConc,384,Y,2,1,Attchd,2,402,2007,WD,Normal,160000
12464,1040,Pave,NA,Corner,1Fam,1Story,5,5,1996,PConc,1040,Y,1,0,Detchd,2,576,2009,WD,Normal,152000
9600,1378,Pave,NA,Inside,1Fam,2Story,7,9,1928,BrkTil,689,Y,2,0,Detchd,2,360,2008,WD,Normal,161000
4928,958,Pave,NA,Inside,TwnhsE,1Story,6,6,1976,CBlock,958,Y,2,0,Attchd,2,440,2009,WD,Normal,143750
7838,900,Pave,NA,Inside,1Fam,SFoyer,5,5,1967,CBlock,864,Y,1,0,Attchd,1,288,2006,WD,Normal,123000
3600,1368,Pave,Grvl,Inside,1Fam,2Story,6,7,1910,CBlock,684,N,1,0,Detchd,1,216,2006,WD,Normal,114504
10226,1630,Pave,NA,Inside,1Fam,1Story,8,5,2008,PConc,1622,Y,2,0,Attchd,3,860,2009,WD,Normal,295493
10440,1230,Pave,Grvl,Corner,1Fam,2Story,5,6,1910,PConc,440,Y,1,1,Detchd,2,440,2009,WD,Normal,110000
11900,1411,Pave,NA,Inside,1Fam,1Story,7,5,1977,CBlock,1386,Y,2,0,Attchd,2,544,2009,WD,Family,82500
9842,2601,Pave,NA,Inside,1Fam,2Story,5,6,1921,BrkTil,612,Y,3,1,BuiltIn,2,621,2008,WD,Normal,189000
9250,1056,Pave,NA,Corner,1Fam,1Story,5,7,1954,CBlock,1056,Y,1,0,Attchd,1,260,2007,WD,Normal,139400
9313,1728,Pave,NA,Inside,1Fam,2Story,7,5,2004,PConc,864,Y,2,1,Attchd,2,572,2009,WD,Normal,190000
8640,1852,Pave,NA,Inside,1Fam,2Story,7,5,2009,PConc,900,Y,2,1,Attchd,2,644,2009,New,Partial,252678
7200,768,Pave,NA,Inside,1Fam,SFoyer,5,8,1972,CBlock,768,Y,1,0,Detchd,1,396,2009,WD,Normal,133900
6240,1573,Pave,NA,Inside,1Fam,1.5Fin,5,7,1930,PConc,1078,Y,2,0,Detchd,2,360,2008,WD,Normal,162900
9525,1099,Pave,NA,Inside,1Fam,1Story,5,6,1995,PConc,1099,Y,1,1,Attchd,1,352,2008,WD,Normal,144000
13500,1252,Pave,NA,Inside,1Fam,1Story,6,7,1960,CBlock,1602,Y,1,0,Attchd,2,564,2008,WD,Normal,235000
3182,1555,Pave,NA,Inside,TwnhsE,1Story,7,5,2005,PConc,1373,Y,2,0,Attchd,2,430,2009,WD,Normal,192500
8400,1595,Pave,NA,Inside,1Fam,1.5Fin,6,5,1940,CBlock,940,Y,1,0,Attchd,1,240,2006,WD,Normal,140000
7943,1029,Pave,NA,Inside,1Fam,1Story,4,5,1961,CBlock,1029,Y,1,0,Attchd,1,261,2007,WD,Normal,118500
10793,1620,Pave,NA,Inside,1Fam,2Story,5,5,1969,CBlock,780,Y,2,1,Attchd,2,462,2007,WD,Normal,152000
9375,2169,Pave,NA,Inside,1Fam,2Story,8,5,2002,PConc,1284,Y,2,1,Attchd,2,647,2007,WD,Normal,228500
2645,1441,Pave,Pave,Inside,Twnhs,2Story,8,5,1999,PConc,776,Y,2,1,Detchd,2,492,2007,WD,Normal,174000
8072,990,Pave,NA,Inside,1Fam,1Story,5,5,1994,PConc,990,Y,1,0,Detchd,2,480,2009,WD,Normal,138000
10304,1868,Pave,NA,CulDSac,1Fam,2Story,5,7,1976,CBlock,780,Y,2,1,Attchd,2,484,2009,WD,Normal,197500
7500,1128,Pave,NA,Inside,1Fam,1.5Fin,4,4,1920,CBlock,698,Y,1,0,Detchd,2,528,2010,COD,Abnorml,68400
5063,1314,Pave,NA,Inside,Twnhs,1Story,7,5,2007,Do Not use this Field in the Model,1314,Y,2,0,Attchd,2,626,2009,ConLw,Normal,207500
11040,1258,Pave,NA,Inside,1Fam,1Story,6,7,1971,CBlock,1258,Y,2,0,Attchd,2,528,2008,COD,Abnorml,145000
3316,1247,Pave,Pave,Inside,TwnhsE,1Story,8,5,2005,PConc,1247,Y,1,1,Attchd,2,550,2006,WD,Normal,197000
6993,1236,Pave,NA,Inside,1Fam,1Story,5,7,1961,CBlock,912,Y,1,0,Attchd,1,288,2006,WD,Normal,135000
13284,1383,Pave,NA,Inside,1Fam,1Story,5,5,1954,PConc,1383,Y,1,0,Attchd,1,354,2008,WD,Normal,165000
10206,944,Pave,NA,Corner,1Fam,1Story,3,3,1952,Slab,0,N,1,0,Detchd,2,528,2009,WD,Normal,82000
7388,1327,Pave,NA,Corner,1Fam,1Story,5,6,1959,Do Not use this Field in the Model,1063,Y,1,0,Detchd,2,624,2007,WD,Normal,150750
9000,1590,Pave,NA,Inside,1Fam,2Story,8,5,2008,PConc,768,Y,2,1,Attchd,2,676,2009,WD,Normal,210000
2368,1365,Pave,NA,Inside,TwnhsE,2Story,5,6,1970,CBlock,765,Y,1,1,Attchd,2,440,2009,WD,Normal,125000
11796,1959,Pave,NA,Inside,1Fam,2Story,7,5,2004,PConc,847,Y,2,1,BuiltIn,2,434,2007,WD,Normal,215000
1680,1302,Pave,NA,Inside,Twnhs,2Story,5,7,1972,CBlock,630,Y,2,1,Detchd,1,264,2009,WD,Normal,119500
1680,987,Pave,NA,Inside,Twnhs,2Story,6,5,1972,CBlock,483,Y,1,1,Attchd,1,288,2006,WD,Normal,94500
10667,1661,Pave,NA,CulDSac,1Fam,2Story,7,6,1996,PConc,799,Y,2,1,Attchd,2,550,2009,ConLw,Normal,212000
14977,1976,Pave,NA,Inside,1Fam,1Story,8,5,2006,PConc,1976,Y,2,0,Attchd,3,908,2007,New,Partial,440000
2665,1475,Pave,NA,Inside,TwnhsE,2Story,5,6,1977,PConc,757,Y,2,0,Attchd,1,336,2006,WD,Normal,127000
16669,1707,Pave,NA,Corner,1Fam,1Story,8,6,1981,CBlock,1686,Y,2,1,Attchd,2,511,2006,WD,Normal,228000
7200,1262,Pave,Pave,Inside,1Fam,1Story,6,5,2006,Do Not use this Field in the Model,1262,Y,2,0,Attchd,2,572,2006,New,Partial,185000
8944,1584,Pave,NA,Inside,Duplex,1Story,5,5,1967,CBlock,1584,Y,2,0,Detchd,3,792,2009,WD,Normal,124000
9020,1350,Pave,NA,Corner,1Fam,SLvl,6,5,1964,CBlock,1248,Y,1,1,Attchd,2,520,2008,WD,Normal,168500
8121,1664,Pave,NA,Inside,1Fam,2Story,6,5,2000,Do Not use this Field in the Model,953,Y,2,1,Attchd,2,460,2006,WD,Normal,172400
34650,1056,Pave,NA,Inside,2fmCon,1Story,5,5,1955,CBlock,1056,N,1,0,Attchd,2,572,2006,WD,Normal,145000
5400,1616,Pave,Pave,Corner,1Fam,1Story,6,7,1926,BrkTil,1149,Y,2,0,Detchd,1,216,2007,WD,Normal,152000
11600,2274,Pave,NA,Corner,Duplex,2Story,5,5,1960,CBlock,1105,Y,2,0,Detchd,2,480,2010,WD,Normal,154300
1950,1556,Pave,NA,Inside,Twnhs,2Story,6,6,1980,CBlock,716,Y,2,1,Attchd,2,452,2008,COD,Normal,151000
8012,923,Pave,NA,Inside,TwnhsE,1Story,6,5,1980,CBlock,923,Y,2,0,Attchd,1,264,2010,WD,Normal,143000
6240,1208,Pave,Grvl,Inside,1Fam,1.5Fin,4,5,1925,CBlock,780,Y,1,0,Detchd,2,539,2009,WD,Normal,103000
8872,912,Pave,NA,Corner,1Fam,1Story,5,8,1965,CBlock,912,Y,1,0,Detchd,2,576,2008,WD,Normal,147000
18030,3086,Pave,NA,Inside,1Fam,1.5Fin,5,6,1946,CBlock,1598,Y,3,0,NA,0,0,2007,WD,Normal,200500
9286,1268,Pave,NA,CulDSac,1Fam,1Story,5,7,1977,CBlock,1268,Y,1,1,Detchd,1,252,2009,WD,Normal,143500
10159,1940,Pave,NA,Inside,1Fam,1Story,9,5,2009,PConc,1930,Y,2,1,Attchd,3,606,2010,New,Partial,395192
9900,1978,Pave,NA,Inside,1Fam,2Story,7,5,1968,CBlock,832,Y,2,1,Attchd,2,486,2008,WD,Normal,176000
3675,1072,Pave,NA,Inside,TwnhsE,SFoyer,6,5,2005,PConc,547,Y,2,0,Basment,2,525,2006,New,Partial,140000
24682,1675,Pave,NA,CulDSac,1Fam,2Story,6,5,1999,PConc,841,Y,2,1,BuiltIn,2,502,2009,WD,Normal,181000
4426,848,Pave,NA,Inside,TwnhsE,1Story,6,5,2004,PConc,848,Y,1,0,Attchd,2,420,2008,WD,Normal,141000
10482,1138,Pave,NA,Inside,1Fam,SLvl,6,8,1958,CBlock,588,Y,1,0,Attchd,1,264,2007,WD,Normal,145000
9400,1824,Pave,NA,Corner,Duplex,2Story,6,5,1971,CBlock,912,Y,2,2,NA,0,0,2010,WD,Normal,139000
9600,1774,Pave,Grvl,Inside,1Fam,2Story,4,2,1900,BrkTil,1095,N,2,0,2Types,3,779,2006,WD,Normal,87000
9786,1734,Pave,NA,Inside,1Fam,1.5Fin,6,7,1962,CBlock,912,Y,1,1,Attchd,2,440,2006,WD,Normal,159000
10192,1920,Pave,NA,Inside,1Fam,SLvl,7,6,1968,CBlock,570,Y,3,0,Attchd,2,487,2006,WD,Normal,170000
13072,1158,Pave,NA,Inside,1Fam,1Story,6,5,2004,PConc,1158,Y,1,1,Detchd,2,576,2006,New,Partial,158000
7892,1199,Pave,NA,Inside,TwnhsE,1Story,6,5,1993,Do Not use this Field in the Model,1199,Y,2,0,Attchd,2,530,2008,WD,Normal,153900
6130,784,Pave,NA,Inside,1Fam,1.5Unf,5,6,1924,BrkTil,784,Y,1,0,NA,0,0,2008,WD,Normal,109500
13517,1479,Pave,NA,CulDSac,1Fam,2Story,6,8,1976,CBlock,725,Y,2,1,Attchd,2,475,2010,WD,Normal,130500
32668,2515,Pave,NA,CulDSac,1Fam,1Story,6,3,1957,PConc,2035,Y,3,0,Attchd,2,484,2007,WD,Alloca,200624
3842,1646,Pave,NA,Inside,TwnhsE,1Story,8,5,2004,PConc,1594,Y,2,0,Attchd,2,482,2008,WD,Normal,275000
10289,1073,Pave,NA,Inside,1Fam,1Story,5,7,1965,CBlock,1073,Y,1,1,Attchd,2,515,2007,WD,Normal,156000
15750,1336,Pave,NA,Corner,2fmCon,1Story,5,5,1953,CBlock,1165,Y,1,0,Attchd,1,375,2006,WD,Normal,157000
7134,1360,Pave,NA,Inside,1Fam,SLvl,5,5,1955,CBlock,384,Y,1,0,Detchd,2,572,2007,WD,Normal,130000
8760,1962,Pave,NA,Inside,1Fam,2Story,7,5,2006,PConc,1391,Y,2,1,Attchd,3,868,2006,New,Partial,239799
12257,2531,Pave,NA,Inside,1Fam,2Story,8,5,1995,PConc,1318,Y,2,1,Attchd,3,752,2007,WD,Normal,290000
13891,2822,Pave,NA,Inside,1Fam,2Story,9,5,2008,PConc,1734,Y,3,1,BuiltIn,3,1020,2009,New,Partial,582933
11361,1523,Pave,NA,Inside,1Fam,1Story,6,5,1976,CBlock,1193,Y,2,0,Attchd,2,478,2008,COD,Abnorml,180000
15498,2898,Pave,NA,Corner,1Fam,1Story,8,6,1976,CBlock,1565,Y,2,0,Attchd,2,665,2008,COD,Abnorml,287000
3196,1557,Pave,NA,Inside,TwnhsE,1Story,7,5,2003,PConc,1374,Y,2,0,Attchd,2,420,2006,WD,Normal,234000
12090,1868,Pave,NA,Inside,1Fam,SLvl,6,7,1984,CBlock,585,Y,3,1,BuiltIn,2,477,2007,WD,Abnorml,178000
14157,1922,Pave,NA,Corner,1Fam,1Story,9,5,2005,PConc,1922,Y,2,0,Attchd,3,676,2007,WD,Normal,377426
9819,900,Pave,NA,Inside,1Fam,1Story,5,5,1967,CBlock,882,Y,1,0,Detchd,1,280,2010,WD,Normal,122000
8741,1487,Pave,NA,Inside,1Fam,1.5Fin,6,4,1945,CBlock,735,Y,1,1,Detchd,1,220,2010,WD,Normal,113000
9100,1525,Pave,NA,Inside,1Fam,1Story,7,5,2000,PConc,1525,Y,2,0,Attchd,2,541,2006,WD,Normal,235000
13560,1392,Pave,NA,Corner,1Fam,1Story,6,3,1968,CBlock,1392,Y,1,0,Attchd,2,576,2009,WD,Normal,110000
5720,1131,Pave,NA,Inside,1Fam,1.5Fin,5,6,1941,CBlock,676,Y,1,1,Detchd,1,200,2009,WD,Abnorml,66500
1533,630,Pave,NA,Inside,Twnhs,SFoyer,5,7,1970,CBlock,630,Y,1,0,NA,0,0,2006,WD,Abnorml,92000
11606,2080,Pave,NA,Inside,1Fam,2Story,5,5,1969,PConc,1040,Y,1,2,Attchd,2,504,2007,WD,Family,135000
12011,1924,Pave,NA,CulDSac,1Fam,2Story,8,5,1998,Do Not use this Field in the Model,1086,Y,2,1,Attchd,2,592,2006,WD,Normal,280000
9750,980,Pave,NA,Inside,1Fam,SLvl,5,5,1967,PConc,980,Y,2,0,Attchd,1,384,2006,WD,Normal,135500
14803,1993,Pave,NA,CulDSac,1Fam,2Story,6,5,1971,CBlock,825,Y,2,1,Attchd,2,495,2006,WD,Normal,190000
9800,894,Pave,NA,Corner,1Fam,1Story,5,7,1972,PConc,894,Y,1,0,Attchd,2,552,2006,WD,Abnorml,149900
7728,1190,Pave,NA,Inside,Duplex,SLvl,5,6,1962,CBlock,1106,Y,1,0,Attchd,2,540,2006,WD,Normal,132500
7259,2320,Pave,NA,Inside,1Fam,2Story,6,8,1945,CBlock,1028,Y,2,1,Detchd,1,180,2007,WD,Normal,259500
13728,2108,Pave,NA,Corner,1Fam,2Story,6,7,1935,CBlock,1127,Y,2,0,Basment,2,540,2008,WD,Normal,235000
9084,1510,Pave,NA,Inside,1Fam,2Story,4,5,1940,CBlock,755,Y,1,0,Detchd,1,296,2009,WD,Normal,108000
14115,1472,Pave,NA,Inside,1Fam,SLvl,7,5,1980,CBlock,1372,Y,2,0,Attchd,2,588,2009,WD,Normal,187500
12394,1733,Pave,NA,Corner,1Fam,2Story,7,5,2003,PConc,847,Y,2,1,BuiltIn,2,433,2007,WD,Family,225000
12508,1750,Pave,NA,Inside,1Fam,1.5Fin,6,7,1940,CBlock,983,Y,2,0,Attchd,1,423,2008,WD,Normal,160000
7917,16470,Pave,NA,Inside,1Fam,2Story,6,5,1999,PConc,953,Y,2,1,Attchd,2,460,2007,WD,Normal,175000
10655,1629,Pave,NA,Inside,1Fam,1Story,8,5,2003,PConc,3206,Y,2,0,Attchd,3,880,2009,WD,Normal,284000
4928,958,Pave,NA,Inside,TwnhsE,1Story,6,5,1976,Do Not use this Field in the Model,1078,Y,2,0,Attchd,2,440,2007,WD,Normal,128000
10106,1355,Pave,NA,Inside,2fmCon,1.5Fin,5,7,1940,BrkTil,644,Y,2,0,NA,0,0,2008,WD,Normal,127500
7875,1509,Pave,NA,Inside,1Fam,2Story,7,5,2003,PConc,783,Y,2,1,Attchd,2,393,2006,WD,Normal,180000
13265,1689,Pave,NA,CulDSac,1Fam,1Story,8,5,2002,PConc,1568,Y,2,0,Attchd,3,857,2008,WD,Normal,271000
8450,1710,Pave,NA,Inside,1Fam,2Story,7,5,2003,PConc,856,Y,2,1,Attchd,2,548,2008,WD,Normal,208500
2016,1302,Pave,NA,Inside,TwnhsE,2Story,5,5,1970,CBlock,630,Y,2,1,Detchd,2,440,2007,WD,Normal,106000
9554,1911,Pave,NA,Inside,1Fam,2Story,8,5,1993,PConc,777,Y,2,1,Attchd,2,471,2006,WD,Normal,215000
17217,1140,Pave,NA,Inside,1Fam,1Story,5,5,2006,PConc,1140,Y,1,0,NA,0,0,2006,WD,Abnorml,84500
7314,1232,Pave,NA,Inside,1Fam,1Story,7,5,2007,PConc,1232,Y,2,0,Attchd,2,632,2009,WD,Normal,194500
9571,1144,Pave,NA,Inside,1Fam,1Story,5,6,1956,CBlock,1144,Y,1,0,Attchd,1,596,2010,WD,Normal,129000
8125,1576,Pave,NA,Inside,1Fam,2Story,7,5,2006,PConc,770,Y,2,1,Attchd,2,614,2006,New,Partial,197000
6270,2002,Pave,NA,Inside,Duplex,2Story,5,6,1949,CBlock,1001,N,2,0,2Types,3,871,2007,WD,Normal,145000
2280,1456,Pave,NA,Inside,Twnhs,2Story,6,5,1978,CBlock,855,Y,2,1,Attchd,2,440,2010,WD,Normal,146000
7153,1603,Pave,NA,Inside,1Fam,2Story,6,5,1992,PConc,761,Y,2,1,Attchd,2,484,2006,WD,Normal,175900
10463,1801,Pave,NA,CulDSac,1Fam,2Story,8,5,2005,PConc,893,Y,2,1,Attchd,3,800,2006,WD,Normal,239900
19690,2201,Pave,NA,CulDSac,1Fam,SLvl,6,7,1966,CBlock,697,Y,2,0,Attchd,2,432,2006,WD,Alloca,274970
12537,1078,Pave,NA,CulDSac,1Fam,1Story,5,6,1971,CBlock,1078,Y,1,1,Attchd,2,500,2010,WD,Normal,149900
7200,1768,Pave,NA,Corner,1Fam,1.5Fin,5,7,1937,BrkTil,731,Y,1,1,Detchd,1,240,2007,WD,Normal,175000
39104,1363,Pave,NA,CulDSac,1Fam,1Story,7,7,1954,Do Not use this Field in the Model,1385,Y,1,0,Attchd,2,439,2008,WD,Normal,241500
9600,2524,Pave,NA,Inside,1Fam,1Story,8,5,1981,PConc,2524,Y,2,1,Attchd,2,542,2009,WD,Normal,278000
7200,1135,Pave,NA,Inside,1Fam,2Story,7,9,1936,Do Not use this Field in the Model,560,Y,1,0,Detchd,2,576,2009,WD,Normal,155000
11643,2634,Pave,NA,Inside,Duplex,2Story,5,5,1969,CBlock,1248,Y,2,2,Detchd,4,968,2009,WD,Normal,200000
11000,1154,Pave,NA,CulDSac,1Fam,1Story,5,6,1966,CBlock,1154,Y,1,1,Attchd,2,480,2009,WD,Normal,154000
11275,2978,Pave,NA,Corner,1Fam,SLvl,7,7,1967,CBlock,710,Y,2,1,BuiltIn,2,,2010,WD,Normal,242000
11526,2555,Pave,NA,Inside,1Fam,2.5Fin,6,7,1922,BrkTil,588,Y,2,0,Detchd,2,,2008,WD,Normal,191000
5105,1102,Pave,NA,FR2,TwnhsE,2Story,7,5,2004,PConc,551,Y,2,1,Detchd,2,480,2007,WD,Normal,148800
10615,1699,Pave,NA,Corner,2fmCon,2Story,3,5,1900,CBlock,978,Y,2,0,CarPort,2,420,2009,WD,Abnorml,95000
11584,1725,Pave,NA,Inside,1Fam,SLvl,7,6,1979,CBlock,539,Y,2,1,Attchd,2,,2007,WD,Normal,197000
11846,1792,Pave,NA,Inside,1Fam,1Story,9,5,2003,PConc,1792,Y,2,0,Attchd,3,874,2006,WD,Normal,374000
